Season,Game,Date,Location,Opponent,Result,Kings_Score,Opp_Score,W,L,Streak,SAC_Pace,SAC_eFG%,SAC_TOV%,SAC_ORB%,SAC_FT/FGA,SAC_ORtg,Opp_Pace,Opp_eFG%,Opp_TOV%,Opp_ORB%,Opp_FT/FGA,Opp_ORtg
"""2021-2022""",72,Fri Mar 18 2022,Home,Boston Celtics,Loss,97,126,25,47,L 2,95.5,0.5,15.2,17.8,0.228,101.5,95.5,0.695,12.7,17.1,0.146,131.9
"""2021-2022""",73,Sun Mar 20 2022,Home,Phoenix Suns,Loss,124,127,25,48,L 3,99,0.516,12.3,18.4,0.33,113.5,99,0.565,14.1,23.3,0.25,116.2
"""2021-2022""",74,Wed Mar 23 2022,Away,Indiana Pacers,Win,110,109,26,48,W 1,99,0.598,15.2,11.1,0.146,111.1,99,0.538,13.5,23.8,0.121,110.1
"""2021-2022""",75,Sat Mar 26 2022,Away,Orlando Magic,Win,114,110,27,48,W 2,93.7,0.485,11.4,30,0.194,110.2,93.7,0.486,9.9,26.8,0.066,106.3
"""2021-2022""",76,Mon Mar 28 2022,Away,Miami Heat,Loss,100,123,27,49,L 1,96.1,0.531,13.6,11.6,0.173,104,96.1,0.65,13.9,27,0.067,127.9
"""2021-2022""",77,Wed Mar 30 2022,Away,Houston Rockets,Win,121,118,28,49,W 1,105.3,0.5,7.5,25,0.274,114.9,105.3,0.527,13.9,27.9,0.202,112.1
"""2021-2022""",78,Fri Apr 1 2022,Away,Houston Rockets,Win,122,117,29,49,W 2,99.8,0.593,11.9,21.1,0.321,122.3,99.8,0.51,8.4,27.8,0.186,117.3
"""2021-2022""",79,Sun Apr 3 2022,Home,Golden State Warriors,Loss,90,109,29,50,L 1,93.9,0.426,11.6,13,0.259,95.9,93.9,0.62,14.9,19.4,0.139,116.1
"""2021-2022""",80,Tue Apr 5 2022,Home,New Orleans Pelicans,Loss,109,123,29,51,L 2,96.6,0.586,14.9,9.1,0.263,112.8,96.6,0.58,11.6,31.1,0.239,127.3
"""2021-2022""",81,Sat Apr 9 2022,Away,Los Angeles Clippers,Loss,98,117,29,52,L 3,99.1,0.483,11.9,15.6,0.174,98.9,99.1,0.61,14.7,22.2,0.14,118.1
"""2021-2022""",82,Sun Apr 10 2022,Away,Phoenix Suns,Win,116,109,30,52,W 1,98.9,0.618,13.6,5.9,0.289,117.3,98.9,0.476,8.4,32.1,0.107,110.2
