Bib #,First Name,Last Name,M/F,Home Town,State,Country,Nationality,Event,Age,Bib,Wave,Status,Time,Note,# Finishes,# 48h,# 36h
21,Julio Cesar,Angel Andrade,M,Mexico,Distrito Federal,Mexico,Mexico,2013 Badwater 135,47,21,800,DNF,,,2,2,1
21,Julio Cesar,Angel Andrade,M,Mexico,,Mexico,Mexico,2014 Badwater 135,48,21,800,FIN,36:34:55,,2,2,1
,Juergen,Ankenbrand,M,Fountain Valley,California,United States,United States,1990 Badwater 135,N/A,,PM,FIN,50:29:53,"*PM Start Time, Not AM.",2,,
,Juergen,Ankenbrand,M,,,United States,United States,1992 Badwater 135,N/A,,PM,FIN,52:00:00,"*PM Start Time, Not AM.",2,,
,Juergen,Ankenbrand,M,,,United States,United States,1999 Badwater 135,N/A,,AM,DNF,,,2,,
,Bob,Ankeney,M,,,United States,United States,1998 Badwater 135,N/A,,AM,FIN,42:58:00,,2,2,
,Bob,Ankeney,M,,California,United States,United States,1999 Badwater 135,N/A,,AM,FIN,40:05:00,,2,2,
56,William,Ansick,M,Auburn,Alabama,United States,United States,2010 Badwater 135,23,56,600,FIN,36:38:30,,1,1,
88,Jean,Aponte,M,Mandeville,Louisiana,United States,United States,2019 Badwater 135,35,88,2130,FIN,36:55:31,,1,1,
33,Shanna Christine,Armstrong,F,Lubbock,Texas,United States,United States,2008 Badwater 135,33,33,800,FIN,31:16:10,,1,1,1
99,Michael,Arnstein,M,New York,New York,United States,United States,2012 Badwater 135,35,99,1000,FIN,31:04:55,,1,1,1
57,Matthew,Aro,M,Duluth,Minnesota,United States,United States,2010 Badwater 135,31,57,800,FIN,37:04:00,,1,1,
23,Jeff,Ashizawa,M,Waterloo,Ontario,Canada,Canada,2012 Badwater 135,46,23,1000,FIN,38:18:23,,2,2,
23,Jeff,Ashizawa,M,Waterloo,Ontario,Canada,Canada,2013 Badwater 135,47,23,800,FIN,44:52:59,,2,2,
5,Stuart,Askew,M,,,United Kingdom,United Kingdom,2001 Badwater 135,35,5,600,FIN,58:41:55,,1,,
82,Dan,Aspromonte,M,Scotts Valley,California,United States,United States,2023 Badwater 135,67,82,2000,FIN,40:43:39,,1,1,
99,Tom,Atwell,M,San Diego,California,United States,United States,2018 Badwater 135,51,99,2130,DNF,,,,,
,Ed,Ayres,M,Los Angeles,California,United States,United States,1990 Badwater 135,N/A,,PM,FIN,48:19:15,"*PM Start Time, Not AM.",1,,
98,Tracy,Bahr,F,,Oregon,United States,United States,2003 Badwater 135,31,98,1000,FIN,35:16:17,,1,1,1
18,Dr. Burkhard,Baier,M,,Baden-Württemberg,Germany,Germany,2004 Badwater 135,38,18,600,FIN,43:01:38,,1,1,
48,Jane,Ballantyne,F,,British Columbia,Canada,Canada,2003 Badwater 135,48,48,800,FIN,45:23:46,,1,1,
60,David,Balsley,M,New York,New York,United States,United States,2007 Badwater 135,60,60,600,DNF,,,,,
79,Siva,Balu,M,Chicago,Illinois,United States,India,2019 Badwater 135,39,79,2000,FIN,44:12:39,,1,1,
14,Reza,Baluchi,M,West Hills,California,United States,Iran,2010 Badwater 135,37,14,1000,FIN,44:38:42,,2,2,
100,Reza,Baluchi,M,Death Valley,California,United States,Iran,2012 Badwater 135,40,100,1000,FIN,40:51:46,,2,2,
,Carlos,Banderas,M,,,United States,United States,1998 Badwater 135,N/A,,AM,FIN,28:27:00,,1,1,1
,Carlos,Banderas,M,,,United States,United States,1999 Badwater 135,N/A,,AM,DNF,,,1,1,1
43,Matt,Barker,M,Palm Desert,California,United States,United States,2018 Badwater 135,43,43,2000,FIN,43:22:00,,1,1,
24,Rita,Barnes,F,Columbus,Ohio,United States,United States,2008 Badwater 135,52,24,800,FIN,42:21:13,,1,1,
25,Marie,Bartoletti,F,Carnegie,Pennsylvania,United States,United States,2008 Badwater 135,50,25,800,FIN,35:47:41,,1,1,1
17,Michelle,Barton,F,Laguna Niguel,California,United States,United States,2010 Badwater 135,39,17,1000,FIN,45:54:20,,1,1,
17,Michelle,Barton,F,Laguna Niguel,California,United States,United States,2015 Badwater 135,44,17,2000,DNF,,,1,1,
,Duke,Bartoo,M,,,United States,United States,1998 Badwater 135,N/A,,AM,FIN,41:38:00,,1,1,
26,Crystal,Basich,F,Madison,Ohio,United States,United States,2012 Badwater 135,29,26,800,FIN,37:51:57,,1,1,
10,Norma,Bastidas,F,Delta,British Columbia,Canada,Mexico,2015 Badwater 135,47,10,2130,FIN,45:44:15,,1,1,
3,Gerald Jay,Batchen,M,Bernardsville,New Jersey,United States,United States,2000 Badwater 135,31,3,600,FIN,43:23:56,,1,1,
,Wayne,Baughman,M,,,United States,United States,1991 Badwater 135,N/A,,PM,FIN,55:46:45,"*PM Start Time, Not AM.",1,,
34,Todd,Baum,M,Fayatteville,New York,United States,United States,2007 Badwater 135,49,34,800,FIN,40:54:07,,4,3,
34,Todd,Baum,M,Fayetteville,New York,United States,United States,2008 Badwater 135,50,34,800,FIN,47:24:26,,4,3,
34,Todd,Baum,M,Fayatteville,New York,United States,United States,2009 Badwater 135,51,34,800,FIN,54:45:25,Time on course not affected by the fire.,4,3,
34,Todd,Baum,M,Essex Junction,Vermont,United States,United States,2021 Badwater 135,63,34,2130,FIN,43:36:51,,4,3,
61,Gerard,Bavato,M,,Île-de-France,France,France,2005 Badwater 135,47,61,1000,DNF,,,,,
61,Gerard,Bavato,M,Villefranche de Lauragai,Île-de-France,France,France,2006 Badwater 135,48,61,1000,DNF,,,,,
29,Maggie,Beach,F,La Crescenta,California,United States,United States,2012 Badwater 135,41,29,800,FIN,33:31:04,,2,2,2
8,Maggie,Beach,F,Pasadena,California,United States,United States,2014 Badwater 135,43,8,800,FIN,33:16:01,,2,2,2
63,Robert,Becker,M,Fort Lauderdale,Florida,United States,United States,2008 Badwater 135,63,63,800,FIN,40:48:35,,3,3,
69,Robert,Becker,M,Fort Lauderdale,Florida,United States,United States,2014 Badwater 135,69,69,600,FIN,39:45:13,,3,3,
70,Robert,Becker,M,Fort Lauderdale,Florida,United States,United States,2015 Badwater 135,70,70,2000,FIN,41:30:21,,3,3,
