Bib #,First Name,Last Name,M/F,Home Town,State,Country,Nationality,Event,Age,Bib,Wave,Status,Time,Note,# Finishes,# 48h,# 36h
13,Julie,Fingar,F,Roseville,California,United States,United States,2023 Badwater 135,47,13,2200,FIN,36:25:32,,2,2,
50,Holger,Finkernagel,M,,,Germany,Germany,2001 Badwater 135,57,50,800,FIN,52:20:49,,3,2,
65,Holger,Finkernagel,M,,,Germany,Germany,2002 Badwater 135,58,65,1000,FIN,45:30:49,,3,2,
60,Holger,Finkernagel,M,,NRW,Germany,Germany,2004 Badwater 135,60,60,600,DNF,,,3,2,
62,Holger,Finkernagel,M,,Baden-Württemberg,Germany,Germany,2005 Badwater 135,62,62,600,FIN,43:07:08,,3,2,
62,Scott,Finnell,M,Allison Park,Pennsylvania,United States,United States,2010 Badwater 135,54,62,800,FIN,40:55:30,,2,2,
62,Scott,Finnell,M,Allison Park,Pennsylvania,United States,United States,2011 Badwater 135,55,62,800,FIN,38:52:27,,2,2,
20,Gina,Fioroni,F,Lakewood,Colorado,United States,United States,2016 Badwater 135,39,20,2130,FIN,38:22:36,,1,1,
25,Markus,Fischer,M,Cologne,Baden-Württemberg,Germany,Germany,2006 Badwater 135,38,25,600,FIN,46:10:58,,1,1,
,Gabriel,Flores,M,,,United States,United States,1998 Badwater 135,N/A,,AM,FIN,28:09:00,Men's AM Record,2,2,2
,Gabriel,Flores,M,,California,United States,United States,1999 Badwater 135,N/A,,AM,FIN,28:36:00,,2,2,2
44,Jacqueline Adams,Florine,F,Lafayette,California,United States,United States,2008 Badwater 135,44,44,800,FIN,45:18:19,,1,1,
45,Geoffrey,Foote,M,Chandler,Arizona,United States,United States,2013 Badwater 135,45,45,800,FIN,41:55:24,,3,3,
45,Geoffrey,Foote,M,Chandler,Arizona,United States,United States,2014 Badwater 135,46,45,600,FIN,36:56:42,,3,3,
60,Geoffrey,Foote,M,Chandler,Arizona,United States,United States,2019 Badwater 135,51,60,2130,FIN,44:00:06,,3,3,
68,Dawn,Forman-Lisenby,F,Flagler Beach,Florida,United States,United States,2022 Badwater 135,54,68,2000,DNF,,,1,1,
68,Dawn,Forman-Lisenby,F,Flagler Beach,Florida,United States,United States,2023 Badwater 135,55,68,2000,FIN,46:34:04,,1,1,
42,Darren,Fortney,M,Middleton,Wisconsin,United States,United States,2009 Badwater 135,41,42,800,FIN,36:28:02,,4,4,
42,Darren,Fortney,M,Middleton,Wisconsin,United States,United States,2011 Badwater 135,43,42,1000,FIN,45:25:55,,4,4,
42,Darren,Fortney,M,Middleton,Wisconsin,United States,United States,2013 Badwater 135,45,42,800,FIN,46:59:19,,4,4,
18,Darren,Fortney,M,Middleton,Wisconsin,United States,United States,2014 Badwater 135,46,18,700,FIN,47:15:15,,4,4,
,Joe,Franiak,M,,,United States,United States,1992 Badwater 135,N/A,,PM,FIN,29:25:00,"*PM Start Time, Not AM.",2,2,2
,Joe,Franiak,M,,,United States,United States,1993 Badwater 135,N/A,,PM,FIN,30:48:11,"*PM Start Time, Not AM.",2,2,2
42,Martin,Franklin,M,Aspen,Colorado,United States,United States,2007 Badwater 135,42,42,800,FIN,41:29:24,,1,1,
40,Rochelle,Frazeur,F,Coppell,Texas,United States,United States,2011 Badwater 135,40,40,800,FIN,39:30:41,,1,1,
18,Kaylee,Frederick,F,Johnstown,Pennsylvania,United States,United States,2023 Badwater 135,18,18,2000,FIN,40:06:43,,1,1,
33,Jimmy Dean,Freeman,M,Los Angeles,California,United States,United States,2010 Badwater 135,33,33,1000,FIN,34:22:40,,2,2,1
33,Jimmy Dean,Freeman,M,Los Angeles,California,United States,United States,2016 Badwater 135,39,33,2300,FIN,38:32:24,,2,2,1
76,Joshua,Frey,M,Folsom,California,United States,United States,2022 Badwater 135,41,76,2000,FIN,42:14:31,,1,1,
23,Winfried,Friedel,M,,,Germany,Germany,2002 Badwater 135,39,23,600,FIN,58:59:19,,1,,
45,Winfried,Friedel,M,Biebergemuend,Hessen,Germany,Germany,2008 Badwater 135,45,45,600,DNF,,,1,,
63,Eberhard,Frixe,M,Niedersachsen,Baden-Württemberg,Germany,Germany,2000 Badwater 135,50,63,1000,DNF,,,8,6,1
51,Eberhard,Frixe,M,,,Germany,Germany,2001 Badwater 135,51,51,800,FIN,41:39:35,,8,6,1
66,Eberhard,Frixe,M,,,Germany,Germany,2002 Badwater 135,52,66,1000,FIN,48:44:07,,8,6,1
66,Eberhard,Frixe,M,,Baden-Württemberg,Germany,Germany,2003 Badwater 135,53,66,1000,DNF,,,8,6,1
66,Eberhard,Frixe,M,,Baden-Württemberg,Germany,Germany,2004 Badwater 135,54,66,800,FIN,40:46:58,,8,6,1
66,Eberhard,Frixe,M,Meine,Lower Saxony (Niedersachsen),Germany,Germany,2007 Badwater 135,57,66,800,FIN,35:09:58,,8,6,1
66,Eberhard,Frixe,M,Meine,Niedersachsen,Germany,Germany,2008 Badwater 135,58,66,800,FIN,38:41:59,,8,6,1
66,Eberhard,Frixe,M,Meine,Nied,Germany,Germany,2009 Badwater 135,59,66,800,FIN,,,8,6,1
66,Eberhard,Frixe,M,Meine,Lower Saxony (Niedersachsen),Germany,Germany,2011 Badwater 135,61,66,600,FIN,46:45:51,,8,6,1
66,Eberhard,Frixe,M,Meine,Lower Saxony (Niedersachsen),Germany,Germany,2012 Badwater 135,62,66,600,FIN,45:06:24,,8,6,1
66,Eberhard,Frixe,M,Meine,Niedersachsen,Germany,Germany,2013 Badwater 135,63,66,600,DNF,,,8,6,1
5,Anita Marie,Fromm,F,,,United States,United States,2002 Badwater 135,31,5,600,FIN,54:51:25,,5,4,
5,Anita Marie,Fromm,F,,California,United States,United States,2003 Badwater 135,32,5,600,FIN,46:48:49,,5,4,
15,Anita Marie,Fromm,F,Manitou Springs,Colorado,United States,United States,2007 Badwater 135,36,15,800,FIN,42:53:08,,5,4,
15,Anita Marie,Fromm,F,Albuquerque,New Mexico,United States,United States,2008 Badwater 135,37,15,800,FIN,40:32:39,,5,4,
25,Anita Marie,Fromm,F,Colorado Springs,Colorado,United States,United States,2010 Badwater 135,39,25,800,FIN,37:53:23,,5,4,
67,Chris,Frost,M,,,United States,United States,2002 Badwater 135,51,67,1000,FIN,43:14:56,,9,8,
52,Chris,Frost,M,,California,United States,United States,2003 Badwater 135,52,52,1000,FIN,42:51:37,,9,8,
53,Chris,Frost,M,,California,United States,United States,2004 Badwater 135,53,53,1000,FIN,36:22:59,,9,8,
55,Chris,Frost,M,Malibu,California,United States,United States,2006 Badwater 135,55,55,1000,FIN,40:32:18,,9,8,
55,Chris,Frost,M,Malibu,California,United States,United States,2007 Badwater 135,56,55,1000,FIN,43:41:23,,9,8,
55,Chris,Frost,M,Malibu,California,United States,United States,2008 Badwater 135,57,55,1000,FIN,43:55:34,,9,8,
55,Chris,Frost,M,Malibu,California,United States,United States,2010 Badwater 135,59,55,800,FIN,51:15:49,,9,8,
55,Chris,Frost,M,Malibu,California,United States,United States,2011 Badwater 135,60,55,800,FIN,45:01:27,,9,8,
55,Chris,Frost,M,Malibu,California,United States,United States,2012 Badwater 135,61,55,600,FIN,46:35:43,,9,8,
55,Chris,Frost,M,Malibu,California,United States,United States,2013 Badwater 135,62,55,600,DNF,,,9,8,
55,Chris,Frost,M,Malibu,California,United States,United States,2015 Badwater 135,64,55,2000,DNF,,,9,8,
75,Trevin,Fugere,M,Frisco,Texas,United States,United States,2021 Badwater 135,47,75,2000,FIN,43:56:32,,1,1,
5,Frank,Fumich,M,,Virginia,United States,United States,2004 Badwater 135,36,5,600,FIN,42:39:00,,1,1,
,Bjarte,Furnes,M,,,Norway,Norway,1997 Badwater 135,N/A,,AM,DNF,,,,,
97,Bjarte,Furnes,M,Altona,Victoria,Australia,Norway,2008 Badwater 135,34,97,600,DNF,,,,,
53,Ben,Gaetos,M,Los Angeles,California,United States,Philippines,2013 Badwater 135,56,53,600,FIN,44:08:07,,1,1,
37,William,Gane,M,Chicago,Illinois,United States,United Kingdom,2016 Badwater 135,40,37,2130,FIN,35:22:34,,1,1,1
58,Alexis,Garcia,M,Pembroke Pines,Florida,United States,Cuba,2022 Badwater 135,60,58,2130,FIN,46:35:36,,1,1,
40,Vicente Juan,Garcia Beneito,M,alcoy - alicante,,Spain,Spain,2015 Badwater 135,39,40,2300,DNF,,,,,
40,Vicente Juan,Garcia Beneito,M,Alcoy,,Spain,Spain,2019 Badwater 135,43,40,2130,DNF,,,,,
100,Connie,Gardner,F,Medina,Ohio,United States,United States,2010 Badwater 135,46,100,1000,FIN,30:35:08,,1,1,1
14,Peggy,Gaudet,F,Hope,Idaho,United States,United States,2009 Badwater 135,40,14,800,FIN,53:59:32,Time on course not affected by the fire.,1,,
25,Florence,Gay,F,Lescar,Île-de-France,France,France,2011 Badwater 135,46,25,1000,FIN,36:10:40,,1,1,
45,Sharon,Gayter,F,Guisborough,Cleveland,United Kingdom,United Kingdom,2009 Badwater 135,45,45,1000,FIN,31:12:32,,1,1,1
29,Gregg,Geerdes,M,Annandale,Virginia,United States,United States,2010 Badwater 135,41,29,1000,FIN,28:28:29,,1,1,1
54,Sandy,Geisel,F,Atlanta,Georgia,United States,United States,2013 Badwater 135,49,54,800,DNF,,,1,1,
14,Sandy,Geisel,F,Marietta,Georgia,United States,Canada,2021 Badwater 135,57,14,2000,FIN,43:10:32,,1,1,
67,Eric,Gelber,M,Briarcliff Manor,New York,United States,United States,2012 Badwater 135,45,67,600,FIN,42:38:59,,2,2,
67,Eric,Gelber,M,Chappaqua,New York,United States,United States,2015 Badwater 135,48,67,2000,FIN,46:11:42,,2,2,
36,Emily,Gelder,F,London,London E,United Kingdom,United Kingdom,2011 Badwater 135,36,36,1000,FIN,37:29:48,,1,1,
46,Rudolph,Geoffroy,M,Simandres,,France,France,2015 Badwater 135,44,46,2130,FIN,39:55:30,,1,1,
35,Alan,Geraldi,M,Daly City,California,United States,United States,2008 Badwater 135,43,35,600,FIN,41:46:17,,1,1,
57,Alfred,Gerauer,M,,Baden-Württemberg,Germany,Germany,2004 Badwater 135,57,57,600,FIN,59:15:04,,1,,
69,Erika Jennifer,Gerhardt,F,Reedsburg,Wisconsin,United States,United States,2000 Badwater 135,29,69,800,HON,77:05:00,,,,
61,Roberto Mario,Gili Farina,M,Cordoba,Planta Baja,Argentina,Argentina,2017 Badwater 135,44,61,2130,FIN,40:06:46,,1,1,
36,Zach,Gingerich,M,Aurora,Illinois,United States,United States,2008 Badwater 135,28,36,1000,FIN,37:26:16,,6,6,5
29,Zach,Gingerich,M,Aurora,Illinois,United States,United States,2009 Badwater 135,29,29,1000,FIN,25:06:12,,6,6,5
3,Zach,Gingerich,M,Aurora,Illinois,United States,United States,2010 Badwater 135,30,3,1000,FIN,24:44:48,,6,6,5
1,Zach,Gingerich,M,Aurora,Illinois,United States,United States,2011 Badwater 135,31,1,1000,FIN,26:45:15,,6,6,5
4,Zach,Gingerich,M,Tigard,Oregon,United States,United States,2012 Badwater 135,32,4,1000,FIN,25:49:40,,6,6,5
39,Zach,Gingerich,M,Newberg,Oregon,United States,United States,2018 Badwater 135,39,39,2300,DNF,,,6,6,5
39,Zach,Gingerich,M,Newberg,Oregon,United States,United States,2019 Badwater 135,39,39,2300,FIN,31:32:04,,6,6,5
37,Serge,Girard,M,Grainville Ymauville,Île-de-France,France,France,2008 Badwater 135,54,37,1000,FIN,41:57:17,,1,1,
,Bob,Givens,M,,,United States,United States,1992 Badwater 135,N/A,,PM,FIN,46:19:00,"*PM Start Time, Not AM.",2,2,
,Bob,Givens,M,,,United States,United States,1993 Badwater 135,N/A,,PM,FIN,40:28:09,"*PM Start Time, Not AM.",2,2,
13,Andrew,Glaze,M,Redlands,California,United States,United States,2018 Badwater 135,40,13,2300,DNF,,,,,
59,Jeff,Gleason,M,Wexford,Pennsylvania,United States,United States,2009 Badwater 135,51,59,800,FIN,36:20:10,,4,4,2
59,Jeff,Gleason,M,Wexford,Pennsylvania,United States,United States,2010 Badwater 135,52,59,800,FIN,35:04:38,,4,4,2
59,Jeff,Gleason,M,Wexford,Pennsylvania,United States,United States,2012 Badwater 135,54,59,800,FIN,35:32:54,,4,4,2
59,Jeff,Gleason,M,Wexford,Pennsylvania,United States,United States,2014 Badwater 135,56,59,700,FIN,36:21:55,,4,4,2
59,Jeff,Gleason,M,Wexford,Pennsylvania,United States,United States,2017 Badwater 135,59,59,2130,DNF,,,4,4,2
,Michael,Gleman,M,,,United States,United States,1995 Badwater 135,N/A,,PM,FIN,42:06:54,"*PM Start Time, Not AM.",1,1,
59,Will,Glover,M,Stuart,Florida,United States,United States,2013 Badwater 135,42,59,800,FIN,38:35:08,,2,2,
59,Will,Glover,M,Stuart,Florida,United States,United States,2018 Badwater 135,47,59,2130,FIN,47:10:20,,2,2,
,Mark,Godale,M,,Ohio,United States,United States,1999 Badwater 135,N/A,,AM,FIN,29:58:00,,1,1,1
88,David,Goggins,M,Chula Vista,California,United States,United States,2006 Badwater 135,31,88,600,FIN,30:18:54,,3,3,3
5,David,Goggins,M,Chula Vista,California,United States,United States,2007 Badwater 135,32,5,1000,FIN,25:49:40,,3,3,3
3,David,Goggins,M,Chula Vista,California,United States,United States,2008 Badwater 135,33,3,1000,DNF,,,3,3,3
3,David,Goggins,M,Nashville,Tennessee,United States,United States,2013 Badwater 135,38,3,1000,FIN,32:44:10,,3,3,3
13,David,Goggins,M,Libertyville,Indiana,United States,United States,2014 Badwater 135,39,13,800,DNF,,,3,3,3
72,Dave,Goodwin,M,,California,United States,United States,2003 Badwater 135,55,72,600,DNF,,,,,
69,Steve,Gordon,M,Chevington,Suffolk,United Kingdom,United Kingdom,2018 Badwater 135,49,69,2130,FIN,34:51:02,,1,1,1
60,Mary Campbell,Gorski,F,Milwaukee,Wisconsin,United States,United States,2008 Badwater 135,45,60,800,FIN,45:59:43,,1,1,
88,Igor,Gotsuliak,M,Kyiv,,Ukraine,Ukraine,2021 Badwater 135,32,88,2300,FIN,26:35:08,,1,1,1
23,Carla,Goulart,F,Contagem- Minas Gerais,,Brazil,Brazil,2014 Badwater 135,38,23,600,DNF,,,,,
83,Michele,Graglia,M,Taggia,,Italy,Italy,2016 Badwater 135,32,83,2300,FIN,34:00:10,,2,2,2
83,Michele,Graglia,M,Los Angeles,California,United States,Italy,2018 Badwater 135,34,83,2300,FIN,24:51:47,,2,2,2
83,Michele,Graglia,M,Big Bear City,California,United States,Italy,2021 Badwater 135,37,83,2300,DNF,,,2,2,2
70,Dave,Graham,M,Kurraba Point,New South Wales,Australia,Australia,2016 Badwater 135,47,70,2300,FIN,29:46:20,,1,1,1
38,Terry,Graves Jr.,M,,,United States,United States,2002 Badwater 135,35,38,800,FIN,41:44:00,,1,1,
76,David,Green,M,Jacksonville Beach,Florida,United States,United States,2012 Badwater 135,48,76,600,FIN,39:23:59,,2,2,
68,David,Green,M,Jacksonville Beach,Florida,United States,United States,2018 Badwater 135,54,68,2130,FIN,44:16:58,,2,2,
62,Grif,Griffith,M,San Clemente,California,United States,United States,2013 Badwater 135,49,62,1000,FIN,40:47:03,,1,1,
39,Ronald,Grimes,M,,,United States,United States,2002 Badwater 135,55,39,800,DNF,,,,,
63,Paul,Grimm,M,Littleton,Colorado,United States,United States,2010 Badwater 135,41,63,600,FIN,55:18:21,,2,1,
58,Paul,Grimm,M,Littleton,Colorado,United States,United States,2012 Badwater 135,43,58,600,FIN,46:13:12,,2,1,
54,Philippe,Grizard,M,Chaussin,Burgundy (Bourgogne),France,France,2007 Badwater 135,54,54,800,FIN,46:15:23,,2,2,
54,Philippe,Grizard,M,Chaussin,Franche-Comté,France,France,2008 Badwater 135,55,54,600,DNF,,,2,2,
54,Philippe,Grizard,M,Chaussin,Bour,France,France,2009 Badwater 135,56,54,600,DNF,,,2,2,
54,Philippe,Grizard,M,Chaussin,,France,France,2014 Badwater 135,61,54,600,FIN,47:20:55,,2,2,
16,Jay,Grobeson,M,Los Angeles,California,United States,United States,2000 Badwater 135,39,16,600,FIN,33:49:59,,1,1,1
25,Dagmar,Grossheim,F,Gaefenberg,Free State of Bavaria (Freistaat Bayern),Germany,Germany,2007 Badwater 135,45,25,1000,FIN,42:56:03,,1,1,
39,Dominic,Grossman,M,Playa Del Rey,California,United States,United States,2010 Badwater 135,23,39,800,FIN,31:37:10,,1,1,1
61,Martin,Gruebele,M,Champaign,Illinois,United States,United States,2018 Badwater 135,54,61,2130,DNF,,,1,1,
61,Martin,Gruebele,M,Champaign,Illinois,United States,United States,2019 Badwater 135,55,61,2000,FIN,37:16:24,,1,1,
64,Robert,Gryfe,M,Toronto,Ontario,Canada,Canada,2010 Badwater 135,43,64,800,FIN,34:35:20,,1,1,1
76,Brenda,Guajardo,F,Virginia Beach,Virginia,United States,United States,2011 Badwater 135,34,76,1000,FIN,36:34:20,,3,3,2
76,Brenda,Guajardo,F,Austin,Texas,United States,United States,2016 Badwater 135,39,76,2300,FIN,28:40:13,,3,3,2
76,Brenda,Guajardo,F,Austin,Texas,United States,United States,2017 Badwater 135,40,76,2300,DNF,,,3,3,2
76,Brenda,Guajardo,F,Austin,Texas,United States,United States,2018 Badwater 135,41,76,2300,FIN,28:23:10,,3,3,2
92,Grzegorz,Gucwa,M,Fredrikstad,Ostfold,Norway,Poland,2018 Badwater 135,44,92,2000,FIN,44:58:20,,1,1,
34,Krasimir Nicolaev,Gueorguiev,M,Wilson,Wyoming,United States,Bulgaria,2017 Badwater 135,43,34,2130,FIN,37:37:07,,1,1,
37,Simon,Guerard,M,Carlsbad,California,United States,Canada,2023 Badwater 135,37,37,2100,FIN,39:45:07,,1,1,
39,Luis,Guerrero,M,,Aguascalientes,Mexico,Mexico,2003 Badwater 135,39,39,1000,DNF,,,,,
28,Jonathan,Gunderson,M,San Francisco,California,United States,United States,2006 Badwater 135,28,28,600,FIN,43:33:00,,9,9,4
29,Jonathan,Gunderson,M,San Francisco,California,United States,United States,2007 Badwater 135,29,29,800,FIN,42:08:51,,9,9,4
30,Jonathan,Gunderson,M,San Francisco,California,United States,United States,2008 Badwater 135,30,30,800,FIN,36:21:21,,9,9,4
30,Jonathan,Gunderson,M,San Francisco,California,United States,United States,2009 Badwater 135,31,30,800,FIN,31:33:13,,9,9,4
30,Jonathan,Gunderson,M,San Francisco,California,United States,United States,2012 Badwater 135,34,30,1000,FIN,30:19:00,,9,9,4
24,Jonathan,Gunderson,M,San Francisco,California,United States,United States,2017 Badwater 135,39,24,2300,FIN,32:21:40,,9,9,4
24,Jonathan,Gunderson,M,San Bruno,California,United States,United States,2019 Badwater 135,41,24,2300,FIN,36:21:02,,9,9,4
24,Jonathan,Gunderson,M,San Francisco,California,United States,United States,2021 Badwater 135,43,24,2300,FIN,31:33:08,,9,9,4
24,Jonathan,Gunderson,M,San Bruno,California,United States,United States,2023 Badwater 135,45,24,2200,FIN,38:18:43,,9,9,4
45,Bruce,Gungle,M,,Arizona,United States,United States,2004 Badwater 135,45,45,800,FIN,42:48:58,,4,4,
47,Bruce,Gungle,M,Tucson,Arizona,United States,United States,2006 Badwater 135,47,47,1000,FIN,41:26:23,,4,4,
49,Bruce,Gungle,M,Tucson,Arizona,United States,United States,2008 Badwater 135,49,49,1000,FIN,43:52:29,,4,4,
53,Bruce,Gungle,M,Tucson,Arizona,United States,United States,2012 Badwater 135,53,53,600,FIN,44:37:15,,4,4,
64,Carlos Henrique,Gusmão,M,Vila Velha,Espirito Santo,Brazil,Brazil,2013 Badwater 135,34,64,800,FIN,38:11:09,,1,1,
39,Joerg,Hafner,M,Hamburg,Free and Hanseatic City of Hamburg (Freie und Hans,Germany,Germany,2012 Badwater 135,39,39,800,FIN,34:51:26,,1,1,1
64,Norman,Haines,M,,California,United States,United States,2003 Badwater 135,64,64,600,DNF,,,,,
7,Aaron,Hale,M,Santa Rosa Beach,Florida,United States,United States,2023 Badwater 135,45,7,2000,FIN,42:19:49,,1,1,
33,Jiri,Halek,M,Strakonice,,Czech Republic,Czech Republic,2022 Badwater 135,35,33,2000,FIN,35:36:53,,1,1,1
64,Patrick,Hameau,M,Paris,,France,France,2017 Badwater 135,45,64,2000,DNF,,,,,
97,Brian,Hamilton,M,Portland,Oregon,United States,United Kingdom,2021 Badwater 135,51,97,2000,FIN,38:35:05,,1,1,
,James,Hamilton,M,,,United States,United States,1998 Badwater 135,54,,AM,FIN,51:51:00,,2,1,
,James,Hamilton,M,,California,United States,United States,1999 Badwater 135,55,,AM,FIN,45:47:00,,2,1,
17,James,Hamilton,M,San Diego,California,United States,United States,2000 Badwater 135,56,17,600,DNF,,,2,1,
59,Ron,Hamilton,M,Concord,California,United States,United States,2006 Badwater 135,59,59,600,DNF,,,,,
83,Steve,Hanes,M,Westfield,Pennsylvania,United States,United States,2009 Badwater 135,53,83,600,FIN,,,1,,
,Noel,Hanna,M,,,Ireland,Ireland,1999 Badwater 135,N/A,,AM,FIN,39:03:00,,1,1,
68,Dave,Hannaford,M,,,United States,United States,2002 Badwater 135,51,68,1000,FIN,33:16:46,,1,1,1
72,Leon Skriver,Hansen,M,Rødovre,,Denmark,Denmark,2016 Badwater 135,44,72,2130,FIN,36:08:43,,1,1,
90,Edward,Hanson,M,St Cloud,Florida,United States,United States,2021 Badwater 135,50,90,2000,DNF,,,,,
78,Fabrice,Hardel,M,san diego,California,United States,France,2012 Badwater 135,38,78,1000,FIN,32:16:30,,1,1,1
53,Jessica,Hardy,F,Dana Point,California,United States,United States,2018 Badwater 135,35,53,2000,FIN,39:16:36,,3,3,1
53,Jessica,Hardy,F,Dana Point,California,United States,United States,2019 Badwater 135,36,53,2130,FIN,40:13:13,,3,3,1
53,Jessica,Hardy,F,Dana Point,California,United States,United States,2021 Badwater 135,39,53,2130,FIN,35:56:47,,3,3,1
82,Timothy,Hardy,M,Marietta,New York,United States,United States,2012 Badwater 135,51,82,800,FIN,36:08:37,,1,1,
20,Jeffrey,Harmon,M,Independence,Kentucky,United States,United States,2022 Badwater 135,64,20,2000,FIN,44:40:23,,1,1,
41,David,Harper,M,,Florida,United States,United States,2005 Badwater 135,41,41,800,FIN,52:41:49,,3,1,
32,David,Harper,M,Clermont,Florida,United States,United States,2006 Badwater 135,42,32,600,FIN,51:48:10,,3,1,
32,David,Harper,M,Clermont,Florida,United States,United States,2007 Badwater 135,43,32,800,FIN,46:13:35,,3,1,
67,Rob,Harsh,M,,Illinois,United States,United States,2005 Badwater 135,34,67,800,FIN,50:52:11,,1,,
21,Susannah,Harvey-Jamieson,F,Holland Park West,Queensland,Australia,Australia,2010 Badwater 135,37,21,800,FIN,35:20:38,,1,1,1
64,Paul,Hasse,M,Minneapolis,Minnesota,United States,United States,2006 Badwater 135,45,64,1000,FIN,37:45:16,,1,1,
23,Bob,Haugh,M,,Kentucky,United States,United States,2003 Badwater 135,52,23,1000,DNF,,,2,2,
80,Bob,Haugh,M,Paducah,Kentucky,United States,United States,2006 Badwater 135,55,80,800,FIN,44:39:08,,2,2,
80,Bob,Haugh,M,Paducah,Kentucky,United States,United States,2008 Badwater 135,57,80,800,FIN,42:22:32,,2,2,
59,Herbert,Hausmann,M,,Baden-Württemberg,Germany,Germany,2004 Badwater 135,56,59,600,FIN,58:46:40,,1,,
40,Michael,Haviland,M,,,United States,United States,2002 Badwater 135,60,40,800,FIN,53:07:41,,1,,
46,Ferg,Hawke,M,,British Columbia,Canada,Canada,2004 Badwater 135,46,46,800,FIN,27:30:20,,3,3,3
2,Ferg,Hawke,M,,British Columbia,Canada,Canada,2005 Badwater 135,48,2,1000,FIN,26:33:00,,3,3,3
2,Ferg,Hawke,M,Surrey,British Columbia,Canada,Canada,2006 Badwater 135,48,2,1000,FIN,28:45:10,,3,3,3
65,Bob,Hearn,M,Portola Valley,California,United States,United States,2018 Badwater 135,52,65,2300,FIN,36:09:15,,1,1,
53,Richard,Heath,M,Heswall,,United Kingdom,United Kingdom,2022 Badwater 135,51,53,2130,FIN,39:28:11,,1,1,
85,Claire,Heid,F,Tacoma,Washington,United States,United States,2012 Badwater 135,23,85,800,FIN,41:15:57,,1,1,
46,Gabriel,Helmlinger,M,Cambridge,Massachusetts,United States,France,2012 Badwater 135,46,46,1000,FIN,33:47:37,,1,1,1
46,Gabriel,Helmlinger,M,Cambridge,Massachusetts,United States,France,2013 Badwater 135,47,46,1000,DNF,,,1,1,1
14,Mark,Henderson,M,,,United States,United States,2001 Badwater 135,41,14,600,FIN,41:22:40,,1,1,
100,Timothy,Henderson,M,Sayville,New York,United States,United States,2019 Badwater 135,49,100,2300,FIN,41:32:17,,1,1,
75,Christopher,Hendley,M,,,United States,United States,2001 Badwater 135,38,75,1000,FIN,52:57:54,,1,,
22,Christopher,Hendley,M,,Nevada,United States,United States,2003 Badwater 135,40,22,800,DNF,,,1,,
25,Mike,Henebry,M,,,United States,United States,2002 Badwater 135,58,25,600,FIN,53:03:05,,1,,
20,Mike,Henebry,M,,California,United States,United States,2004 Badwater 135,60,20,800,DNF,,,1,,
100,Lisa,Henson,F,,California,United States,United States,2003 Badwater 135,42,100,800,FIN,45:57:20,,1,1,
51,Michael R.,Hernandez,M,,California,United States,United States,2004 Badwater 135,51,51,800,DNF,,,,,
57,Oscar,Hernandez,M,San Bernardino,California,United States,Mexico,2021 Badwater 135,39,57,2130,FIN,38:25:13,,1,1,
81,Nahila,Hernandez San Juan,F,Santiago,Santiago de Chile,Chile,Mexico,2013 Badwater 135,39,81,800,FIN,36:17:13,,1,1,
59,Jan,Herrmann,M,Gladesville,New South Wales,Australia,Australia,2007 Badwater 135,44,59,600,FIN,50:09:23,,2,1,
59,Jan,Herrmann,M,Wahroonga,New South Wales,Australia,Australia,2008 Badwater 135,45,59,600,FIN,45:17:52,,2,1,
69,Achim,Heukemes,M,,,Germany,Germany,2002 Badwater 135,50,69,1000,DNF,,,1,1,1
26,Achim,Heukemes,M,Gaefenberg,Free State of Bavaria (Freistaat Bayern),Germany,Germany,2007 Badwater 135,55,26,1000,FIN,33:02:42,,1,1,1
65,Tim,Hewitt,M,Greensburg,Pennsylvania,United States,United States,2000 Badwater 135,45,65,1000,FIN,30:14:20,,2,2,1
16,Tim,Hewitt,M,Greensburg,Pennsylvania,United States,United States,2010 Badwater 135,55,16,1000,FIN,36:30:52,,2,2,1
90,Claude,Hicks Jr.,M,Fort Worth,Texas,United States,United States,2012 Badwater 135,52,90,800,FIN,37:53:20,,1,1,
99,Walker,Higgins,M,Port Allen,Louisiana,United States,United States,2019 Badwater 135,37,99,2300,FIN,34:06:42,,1,1,1
95,Brian,Hill,M,Ft Worth,Texas,United States,United States,2018 Badwater 135,44,95,2300,FIN,37:58:21,,2,2,
95,Brian,Hill,M,Fort Worth,Texas,United States,United States,2019 Badwater 135,45,95,2130,FIN,37:24:13,,2,2,
95,Brian,Hill,M,Aledo,Texas,United States,United States,2021 Badwater 135,47,95,2130,DNF,,,2,2,
52,Gary,Hilliard,M,Sierra Madre,California,United States,United States,2007 Badwater 135,52,52,600,FIN,41:43:57,,1,1,
58,Geoffrey,Hilton-Barber,M,,Eastern Cape,South Africa,South Africa,2005 Badwater 135,58,58,600,FIN,46:30:17,,1,1,
56,Miles,Hilton-Barber,M,,Aberdeen,United Kingdom,United Kingdom,2005 Badwater 135,56,56,600,DNF,,,,,
80,Carl,Hineline,M,Plano,Texas,United States,United States,2016 Badwater 135,41,80,2130,FIN,41:12:14,,1,1,
80,Carl,Hineline,M,Plano,Texas,United States,United States,2017 Badwater 135,42,80,2130,DNF,,,1,1,
89,Jace,Hinesly,M,Bellingham,Washington,United States,United States,2022 Badwater 135,33,89,2300,FIN,37:30:02,,1,1,
70,Alfred,Hintzmann,M,,Baden-Württemberg,Germany,Germany,2004 Badwater 135,70,70,600,DNF,,,,,
65,David,Hirschfeld,M,Choteau,Montana,United States,United States,2016 Badwater 135,51,65,2000,DNF,,,,,
